sample_id,yri_pct,ceu_pct,yri_ceu_pct,ceu_yri_pct,het_pct
NA19625,0.0,32.413491020586946,0.0,67.58650897941305,67.58650897941305
NA19700,83.20505600400475,0.0,16.794943995995247,0.0,16.794943995995247
NA19701,29.641449220949877,9.010700206495214,7.427570239659596,53.92028033289531,61.347850572554904
NA19703,20.87478881171391,22.195106689193416,23.865840685814405,33.06426381327827,56.93010449909267
NA19704,59.61454226894437,0.0,40.38545773105563,0.0,40.38545773105563
NA19707,77.80489331080658,0.0,22.195106689193416,0.0,22.195106689193416
NA19711,17.032726362555533,14.823853325824416,0.0,68.14342031162005,68.14342031162005
NA19712,0.0,100.0,0.0,0.0,0.0
NA19713,100.0,0.0,0.0,0.0,0.0
NA19818,96.8712846505225,0.0,0.0,3.1287153494775044,3.1287153494775044
NA19819,0.0,0.0,0.0,100.0,100.0
NA19834,44.74062949752832,26.850635129215945,17.983855828796695,10.424879544459046,28.408735373255737
NA19835,100.0,0.0,0.0,0.0,0.0
NA19900,100.0,0.0,0.0,0.0,0.0
NA19901,34.1593141855954,25.261247731681376,12.752643764470308,27.826794318252922,40.579438082723236
NA19904,9.724047306176084,7.189787873099306,64.43276390713973,18.653400913584882,83.0861648207246
NA19908,100.0,0.0,0.0,0.0,0.0
NA19909,95.48839246605344,0.0,4.511607533946561,0.0,4.511607533946561
NA19913,95.48839246605344,0.0,4.511607533946561,0.0,4.511607533946561
NA19914,0.0,62.561792128152184,1.9022589324823227,35.5359489393655,37.438207871847816
NA19916,15.430824103623053,6.407609035729929,65.01470496214255,13.146861898504476,78.16156686064701
NA19917,100.0,0.0,0.0,0.0,0.0
NA19920,72.88029535072899,0.0,0.0,27.11970464927101,27.11970464927101
NA19921,0.0,56.94261936049059,38.82110005631688,4.236280583192541,43.05738063950942
NA19922,95.9514423377761,0.0,4.048557662223891,0.0,4.048557662223891
NA19923,0.0,64.4640510606345,35.5359489393655,0.0,35.5359489393655
NA19982,100.0,0.0,0.0,0.0,0.0
NA19984,83.95594768787936,0.0,16.044052312120645,0.0,16.044052312120645
NA20126,14.729991865340091,7.289906764282586,6.069707777986358,71.91039359239096,77.98010137037733
NA20127,0.0,81.73455978975032,12.91533696264314,5.350103247606533,18.265440210249672
NA20274,0.0,100.0,0.0,0.0,0.0
NA20276,83.95594768787936,0.0,0.0,16.044052312120645,16.044052312120645
NA20278,43.97096552155685,0.0,50.678931230836625,5.350103247606533,56.02903447844315
NA20281,77.04774419623303,0.0,22.952255803766974,0.0,22.952255803766974
NA20282,55.76622238908704,0.0,0.0,44.23377761091296,44.23377761091296
NA20287,34.096739878605845,0.0,65.90326012139415,0.0,65.90326012139415
NA20289,0.0,28.7341217696014,71.2658782303986,0.0,71.2658782303986
NA20291,100.0,0.0,0.0,0.0,0.0
NA20294,100.0,0.0,0.0,0.0,0.0
NA20296,19.2353419685877,5.625430198360553,5.831925411426068,69.30730242162568,75.13922783305175
NA20298,96.8712846505225,0.0,3.1287153494775044,0.0,3.1287153494775044
NA20299,0.0,70.84663037356862,29.153369626431385,0.0,29.153369626431385
NA20314,0.0,83.96220511857831,9.229710280958638,6.808084600463051,16.03779488142169
NA20317,64.4640510606345,0.0,0.0,35.5359489393655,35.5359489393655
NA20318,50.84162442900945,0.0,49.15837557099055,0.0,49.15837557099055
NA20320,85.23872098116513,0.0,14.761279018834866,0.0,14.761279018834866
NA20321,76.27808022026156,0.0,0.0,23.72191977973844,23.72191977973844
NA20332,100.0,0.0,0.0,0.0,0.0
NA20334,59.02008635254364,0.0,23.990989299793505,16.988924347662852,40.97991364745636
NA20339,95.95769976847507,0.0,4.042300231524936,0.0,4.042300231524936
NA20340,22.514235654840125,0.0,10.54377072773919,66.94199361742069,77.48576434515988
NA20342,0.0,40.1101307803016,47.62530504974657,12.264564169951818,59.88986921969839
NA20346,24.917089043238846,59.846067204805706,15.236843751955448,0.0,15.236843751955448
NA20348,85.95832551154497,0.0,14.041674488455042,0.0,14.041674488455042
NA20351,88.74288217257994,0.0,0.0,11.257117827420062,11.257117827420062
NA20355,16.895062887178526,0.0,23.990989299793505,59.11394781302797,83.10493711282147
NA20356,0.0,11.707652837744822,69.67023340216507,18.622113760090105,88.29234716225518
NA20357,22.639384268819224,18.928727864338903,13.353357111569988,45.078530755271885,58.43188786684187
NA20359,80.05756836243039,0.0,19.942431637569612,0.0,19.942431637569612
NA20362,0.0,64.4640510606345,0.0,35.5359489393655,35.5359489393655
NA20412,0.3003566735498404,21.444215005318817,78.25542832113135,0.0,78.25542832113135
