sample_id,yri_pct,ceu_pct
NA19625,99.7430011595712,0.25699884042880683
NA19700,100.0,0.0
NA19701,100.0,0.0
NA19703,100.0,0.0
NA19704,100.0,0.0
NA19707,100.0,0.0
NA19711,100.0,0.0
NA19712,100.0,0.0
NA19713,100.0,0.0
NA19818,100.0,0.0
NA19819,100.0,0.0
NA19834,100.0,0.0
NA19835,100.0,0.0
NA19900,100.0,0.0
NA19901,100.0,0.0
NA19904,99.93563196630144,0.06436803369855681
NA19908,100.0,0.0
NA19909,99.99337387888397,0.006626121116028116
NA19913,100.0,0.0
NA19914,100.0,0.0
NA19916,99.9317509525049,0.06824904749510097
NA19917,100.0,0.0
NA19920,99.9924272901531,0.007572709846897396
NA19921,99.85801169037083,0.14198830962916986
NA19922,99.9460444423409,0.05395555765909421
NA19923,99.37260098918522,0.6273990108147842
NA19982,100.0,0.0
NA19984,99.91386042549163,0.08613957450836551
NA20126,100.0,0.0
NA20127,99.93070970490096,0.06929029509903728
NA20274,99.9359159429207,0.06408405707929887
NA20276,100.0,0.0
NA20278,99.93553730742836,0.06446269257163806
NA20281,100.0,0.0
NA20282,100.0,0.0
NA20287,99.92626073786592,0.0737392621340831
NA20289,99.28106585891095,0.7189341410890506
NA20291,100.0,0.0
NA20294,100.0,0.0
NA20296,99.74489433703292,0.2551056629670825
NA20298,100.0,0.0
NA20299,99.86378588162907,0.13621411837092978
NA20314,99.99195399578767,0.008046004212332036
NA20317,100.0,0.0
NA20318,99.86861348415647,0.13138651584353056
NA20320,100.0,0.0
NA20321,100.0,0.0
NA20332,100.0,0.0
NA20334,100.0,0.0
NA20339,100.0,0.0
NA20340,99.93449605982441,0.06550394017558858
NA20342,99.89047968383936,0.10952031616064062
NA20346,100.0,0.0
NA20348,100.0,0.0
NA20351,100.0,0.0
NA20355,100.0,0.0
NA20356,99.9359159429207,0.06408405707929887
NA20357,100.0,0.0
NA20359,99.96989847835862,0.030101521641384466
NA20362,99.89047968383936,0.10952031616064062
NA20412,99.8602835033249,0.13971649667510633
